EntryNo,Pancard,Adharcard,OfficeId,VoterID,Driving,ElectricityBill,TeleBill,RationCard,Passport,Remarks
MEM1701-00034,1,1,-1,1,-1,-1,-1,-1,-1,
MEM1801-000204,1,1,1,2,2,2,2,2,2,
MEM1801-000218,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000219,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000055,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000056,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000054,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000220,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000046,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000057,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000065,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000062,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000073,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000072,1,2,1,-1,-1,-1,-1,-1,-1,
MEM1801-000061,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000068,1,1,-1,-1,-1,1,-1,1,-1,
MEM1801-000067,1,1,1,-1,-1,-1,-1,1,-1,
MEM1801-000078,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000077,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000080,1,1,-1,-1,-1,-1,-1,-1,-1,
MEM1801-000082,1,1,1,-1,-1,-1,-1,1,-1,
MEM1801-000081,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000086,1,1,1,-1,-1,-1,-1,1,-1,
MEM1801-000087,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000088,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000084,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000106,1,1,1,1,-1,-1,-1,-1,-1,
MEM1801-000100,2,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000102,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000114,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000103,1,1,1,-1,-1,-1,-1,1,-1,
MEM1801-000099,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000098,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000221,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000093,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000095,1,1,1,2,-1,-1,-1,-1,-1,
MEM1801-000091,1,1,1,-1,1,-1,-1,-1,-1,
6817,1,-1,-1,-1,-1,-1,-1,-1,1,
6819,1,1,1,-1,-1,-1,-1,-1,-1,
6821,1,1,1,-1,-1,-1,-1,-1,-1,
6822,1,1,1,-1,-1,-1,-1,-1,-1,
6823,1,1,1,-1,-1,-1,-1,-1,-1,
6826,1,1,1,1,-1,-1,-1,-1,-1,
6828,1,1,1,-1,-1,-1,-1,-1,-1,
6829,1,1,1,-1,-1,-1,-1,-1,-1,
6830,1,1,1,-1,-1,-1,-1,-1,-1,
6831,1,1,1,-1,-1,-1,-1,-1,-1,
6833,1,1,1,-1,-1,-1,-1,-1,-1,
6834,1,1,1,-1,-1,1,-1,-1,-1,
6836,1,1,1,-1,-1,-1,-1,-1,-1,
6837,1,1,1,1,-1,-1,-1,-1,-1,
6838,1,1,1,1,-1,-1,-1,-1,-1,
6839,1,1,1,-1,-1,-1,-1,-1,-1,
6841,1,1,1,-1,-1,-1,-1,-1,-1,
6843,1,1,1,-1,-1,-1,-1,-1,-1,
6844,1,1,1,-1,-1,-1,-1,-1,-1,
6846,1,-1,-1,-1,1,-1,-1,-1,-1,
6847,1,1,1,-1,-1,-1,-1,-1,-1,
6849,1,1,1,-1,-1,-1,-1,-1,-1,
6852,1,1,1,-1,-1,-1,-1,1,-1,
6855,1,-1,1,-1,-1,-1,-1,-1,-1,
6856,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000246,1,1,-1,-1,-1,-1,-1,-1,-1,
6857,1,1,1,-1,-1,-1,-1,1,-1,
6859,1,1,1,-1,-1,-1,-1,-1,-1,
6860,1,1,1,-1,-1,-1,-1,-1,-1,
6861,1,1,1,1,-1,-1,-1,-1,-1,
6863,1,1,1,-1,-1,-1,-1,-1,-1,
6864,1,1,-1,-1,-1,-1,-1,-1,-1,
6866,1,1,1,1,-1,-1,-1,-1,-1,
6867,1,1,1,-1,-1,-1,-1,-1,-1,
6869,1,-1,1,-1,-1,-1,-1,-1,-1,
6871,-1,-1,1,-1,-1,-1,-1,-1,-1,
6874,1,1,1,-1,-1,-1,-1,-1,-1,
6875,1,1,1,-1,-1,-1,-1,-1,-1,
6878,1,1,-1,-1,-1,-1,-1,-1,-1,
6879,1,1,-1,-1,-1,-1,-1,-1,-1,
6880,1,1,1,-1,-1,-1,-1,-1,-1,
6882,1,1,1,-1,-1,-1,-1,-1,-1,
6884,1,1,1,-1,-1,-1,-1,-1,-1,
6885,1,1,1,-1,-1,-1,-1,-1,-1,
6886,1,1,1,-1,-1,-1,-1,-1,-1,
6888,1,1,1,-1,-1,-1,-1,-1,-1,
6890,1,1,1,-1,-1,-1,-1,-1,-1,
6894,1,1,1,-1,-1,-1,-1,-1,-1,
6895,1,1,1,-1,-1,-1,-1,-1,-1,
6896,1,1,1,-1,-1,-1,-1,-1,-1,
6898,1,1,-1,-1,-1,-1,-1,-1,-1,
6901,1,1,1,-1,-1,-1,-1,-1,-1,
6902,2,1,1,-1,-1,-1,-1,-1,-1,
6903,1,1,1,-1,-1,-1,-1,-1,-1,
6905,1,1,1,-1,-1,-1,-1,-1,-1,
6908,1,1,1,-1,-1,-1,-1,-1,-1,
6910,1,1,1,-1,1,-1,-1,-1,-1,
6912,-1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000352,1,1,1,-1,-1,-1,-1,-1,-1,
MEM1801-000151,1,1,1,-1,-1,-1,-1,-1,-1,
