TransNo,Tr_Type,Payment_Receipt,EntryDate,Vs_Dt,SrNo,AccCode,Amount,DRCR,PartyCode,RecoDt,ShareEntered,EntryNo
CB2201-000001       ,3,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1839,20000.00,DR,000266,NULL,NULL,NULL
CB2201-000001       ,3,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,20000.00,CR,000043,NULL,NULL,NULL
CB2201-000002       ,3,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1472,11000.00,DR,000003,NULL,NULL,NULL
CB2201-000002       ,3,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1517,11000.00,CR,000048,NULL,NULL,NULL
BB2201-000001       ,5,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1485,910400.00,DR,000016,NULL,NULL,BB2201-000001       
BB2201-000001       ,5,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,729400.00,CR,000043,NULL,NULL,BB2201-000001       
BB2201-000001       ,5,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1517,171000.00,CR,000048,NULL,NULL,BB2201-000001       
BB2201-000001       ,5,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,3,1511,7000.00,CR,000042,NULL,NULL,BB2201-000001       
BB2201-000001       ,5,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,4,1510,3000.00,CR,000041,NULL,NULL,BB2201-000001       
CB2201-000003       ,3,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1475,13200.00,DR,000006,NULL,NULL,NULL
CB2201-000003       ,3,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,13200.00,CR,000043,NULL,NULL,NULL
BB2201-000002       ,5,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,0,1488,2207.00,DR,000019,NULL,NULL,BB2201-000002       
BB2201-000002       ,5,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1920,2207.00,CR,000345,NULL,NULL,BB2201-000002       
CE2201-000133       ,8,NULL,2021-05-18 00:00:00,2021-04-06 00:00:00,2,1477,20600.00,DR,000008,NULL,NULL,NULL
CE2201-000133       ,8,NULL,2021-05-18 00:00:00,2021-04-06 00:00:00,1,1470,20600.00,CR,000001,NULL,NULL,NULL
JV2201-000001       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,1,1512,700000.00,DR,000043,NULL,NULL,NULL
JV2201-000001       ,7,NULL,2021-04-05 00:00:00,2021-04-05 00:00:00,2,1650,675.00,CR,000165,NULL,NULL,NULL
