type,autoId,fYear,cId,forTrans
BR                  ,0,23,1,NULL
GR                  ,0,23,1,NULL
AC                  ,37,23,1,NULL
PET                 ,22,23,1,NULL
MEM                 ,367,23,1,NULL
CB                  ,8494,23,1,NULL
JV                  ,9885,23,1,NULL
CE                  ,2373,23,1,NULL
BB                  ,28752,23,1,NULL
LN                  ,0,23,1,NULL
EXM                 ,0,23,1,NULL
SCA                 ,0,23,1,NULL
MRB                 ,0,23,1,NULL
MRR                 ,0,23,1,NULL
BVS                 ,0,23,1,NULL
MSC                 ,0,23,1,NULL
BK                  ,0,23,1,NULL
FD                  ,2289,23,1,NULL
BKH                 ,0,23,1,NULL
FAB                 ,0,23,1,NULL
CBL                 ,0,23,1,NULL
SLN                 ,0,23,1,NULL
LRS                 ,0,23,1,NULL
MPL                 ,0,23,1,NULL
MRK                 ,7296,23,1,NULL
LVD                 ,21979,23,1,NULL
RRH                 ,0,23,1,NULL
LNR                 ,0,23,1,NULL
RDL                 ,0,23,1,NULL
DR                  ,0,23,1,NULL
CIC                 ,0,23,1,NULL
EMP                 ,0,23,1,NULL
REP                 ,349810,23,1,NULL
ISM                 ,0,23,1,NULL
RP                  ,0,23,1,NULL
ELN                 ,0,23,1,NULL
PL                  ,65747,23,1,NULL
INW                 ,0,23,1,NULL
OUT                 ,0,23,1,NULL
CCL                 ,0,23,1,NULL
CRD                 ,0,23,1,NULL
RDP                 ,0,23,1,NULL
JDP                 ,0,23,1,NULL
JDT                 ,0,23,1,NULL
MPR                 ,5298,23,1,NULL
LNH                 ,0,23,1,NULL
RCQ                 ,0,23,1,NULL
RPP                 ,0,23,1,NULL
PIG                 ,0,23,1,NULL
PGT                 ,0,23,1,NULL
AG                  ,0,23,1,NULL
FDM                 ,122,23,1,NULL
FIP                 ,699,23,1,NULL
MNC                 ,753,23,1,NULL
LNE                 ,16474,23,1,NULL
REP                 ,349810,23,1,NULL
CB                  ,8494,23,1,NULL
MEM                 ,367,23,1,NULL
MPR                 ,5298,23,1,NULL
CE                  ,2373,23,1,NULL
LVD                 ,21979,23,1,NULL
NOM                 ,753,23,1,NULL
LNM                 ,603,23,1,NULL
PL                  ,65747,23,1,NULL
EST                 ,4,23,1,NULL
LIR                 ,12,23,1,NULL
MRK                 ,7296,23,1,NULL
AC                  ,37,23,1,NULL
JV                  ,9885,23,1,NULL
MNC                 ,753,23,1,NULL
DCL                 ,3196,23,1,NULL
PL                  ,321,-1,1,NULL
MRK                 ,0,-1,1,NULL
JV                  ,1,-1,1,NULL
SIE                 ,0,23,1,NULL
CB                  ,1,-1,1,NULL
CE                  ,0,-1,1,NULL
BB                  ,1,-1,1,NULL
DPT                 ,0,23,1,NULL
MCV                 ,0,23,1,NULL
SAL                 ,2,23,1,NULL
PT                  ,1,23,1,NULL
FDH                 ,2128,23,1,NULL
FDL                 ,3,23,1,NULL
FLP                 ,3,23,1,NULL
LNE                 ,16474,23,1,NULL
MEM                 ,367,23,1,NULL
PL                  ,65747,23,1,NULL
AC                  ,37,23,1,NULL
MAD                 ,0,23,1,NULL
MAH                 ,6,23,1,NULL
CLM                 ,108,23,1,NULL
FDM                 ,122,23,1,NULL
FDH                 ,2128,23,1,NULL
FD                  ,2289,23,1,NULL
AC                  ,37,23,1,NULL
PL                  ,65747,23,1,NULL
PL                  ,65747,23,1,NULL
LNE                 ,26,-1,1,NULL
