TransNo,TransDt,V_TYPE,V_NO,TransType,AccNo,V_DT,V_ENTDT,Amount,Acc_No,Narrionation,V_NAR1,V_NAR2,V_ENO,MEMBERNO,V_CHKNO,BNK_NAM,RECO_DT,LCODE,LDATE,LTIME,INWARD,PURPOSE,LOANCD,SUBOFF,CHQDRF,PCODE,PIN,SLNO,INST_DT,SLIP_DT,MTH,YR,ST_DATE,AppYesNo,AppDate,AppBy,TokenNo,Trans_Branch,Mon_No,Year_No,Dept,mysrno,PinNo,SerialNo,Print_YN,Print_Dt,Prev_Chq_No,ChequeOnName,FDRegSrNo,User_Dept,SendToNeft_Branch,SendToNeft_User_Branch,SendToNeft_User_DATE_Branch,SendToNeft_Bank,SendToNeft_User_Bank,SendToNeft_User_DATE_Bank
CB2301-001479,2022-05-30,3,166,1,300166,2022-05-30,,120,,ISUUE BOND RECEIPT - TOP-UP,,,53254,,,,,9000073,2022-05-30,,,,,,,,,,,,,,,1,2022-05-30,9000027,,3,,,,46255,,,,,,,,11,,,,,,
CB2301-001480,2022-05-30,3,300190,1,300190,2022-05-30,,10,,LOAN STATMENT,,,32623,,,,,9000080,2022-05-30,,,,,,,,,,,,,,,1,2022-05-30,9000034,,2,,,,46256,,,,,,,,11,,,,,,
CB2301-001481,2022-05-30,3,300449,1,300449,2022-05-30,,10000,,BEING THE AMT PART PAID IN MTL,,,47140,,,,,9000091,2022-05-30,,,,,,,,,,,,,,,1,2022-05-30,9000062,,8,,,,46257,,,,,,,,11,,,,,,
CB2301-001482,2022-05-30,3,300167,1,300167,2022-05-30,,20000,,BEING THE AMT OF MID TERM LOAN PART PAID,,,29531,,,,,9000068,2022-05-30,,,,,,,,,,,,,,,1,2022-05-30,9000027,,3,,,,46260,,,,,,,,11,,,,,,
CB2301-001483,2022-05-30,3,225,1,300225,2022-05-30,,120,,ISUUE BOND RECEIPT - TOP-UP,,,48282,,,,,9000060,2022-05-30,,,,,,,,,,,,,,,1,2022-05-30,9000037,,1,,,,46261,,,,,,,,11,,,,,,
CB2301-001484,2022-05-30,3,300450,1,300450,2022-05-30,,3540,,BEING ACCOMODATION CHARGES RECD FROM MEMBER FOR LONAVALA REST HOUSE AGAINST BOOKING DT. 23.07.2022 (4.00 PM) TO 24.07.2022 (3.00 PM) (1 NIGHT) FOR BUNGLOW B-2/01 ( REFUNDABLE CASH AMT RS. 1000/-),,,30573,,,,,9000146,2022-05-30,,,,,,,,,,,,,,,1,2022-05-30,9000049,,8,,,,46271,,,,,,,,8,,,,,,
CB2301-001485,2022-05-31,3,300191,1,300191,2022-05-31,,20000,,MTL LOAN PARTLY PAID,,,38714,,,,,9000064,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000034,,2,,,,46275,,,,,,,,11,,,,,,
CB2301-001486,2022-05-31,3,226,1,300226,2022-05-31,,120,,ISUUE BOND RECEIPT - M.T.L.,,,46052,,,,,9000060,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000037,,1,,,,46280,,,,,,,,11,,,,,,
CB2301-001487,2022-05-31,3,125,1,300125,2022-05-31,,120,,ISUUE BOND RECEIPT - M.T.L.,,,56789,,,,,9000148,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000025,,6,,,,46284,,,,,,,,11,,,,,,
CB2301-001488,2022-05-31,3,300451,1,300451,2022-05-31,,20000,,BEING THE AMOUNT OF MTL PARTLY PAID.,,,24235,,,,,9000142,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000038,,8,,,,46286,,,,,,,,5,,,,,,
CB2301-001489,2022-05-31,3,126,1,300126,2022-05-31,,120,,ISUUE BOND RECEIPT - M.T.L.,,,53988,,,,,9000148,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000025,,6,,,,46292,,,,,,,,11,,,,,,
CB2301-001490,2022-05-31,3,192,1,300192,2022-05-31,,120,,NEW MEMBERSHIP RECEIPT,,,74696,,,,,9000064,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000034,,2,,,,46302,,,,,,,,11,,,,,,
CB2301-001491,2022-05-31,3,300452,1,300452,2022-05-31,,10,,NOMINEE CHANGE- AYESHA WASIM ATTAR (WIFE),,,54125,,,,,9000139,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000022,,8,,,,46303,,,,,,,,11,,,,,,
CB2301-001492,2022-05-31,3,170,1,300170,2022-05-31,,120,,ISUUE BOND RECEIPT - M.T.L.,,,40262,,,,,9000070,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000031,,5,,,,46304,,,,,,,,11,,,,,,
CB2301-001493,2022-05-31,3,193,1,300193,2022-05-31,,120,,ISUUE BOND RECEIPT - M.T.L.,,,40789,,,,,9000093,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000034,,2,,,,46312,,,,,,,,11,,,,,,
CB2301-001494,2022-05-31,3,300194,1,300194,2022-05-31,,10,,LOAN STATEMENT  GIVE TO MEMBER,,,58310,,,,,9000093,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000034,,2,,,,46314,,,,,,,,11,,,,,,
CB2301-001495,2022-05-31,3,300227,1,300227,2022-05-31,,10,,NOMINEE CHANGE NOMINEE NAME-ANJALI SACHIN PAWAR (WIFE),,,55252,,,,,9000060,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000037,,1,,,,46315,,,,,,,,11,,,,,,
CB2301-001496,2022-05-31,3,228,1,300228,2022-05-31,,120,,ISUUE BOND RECEIPT - M.T.L.,,,55252,,,,,9000060,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000037,,1,,,,46316,,,,,,,,11,,,,,,
CB2301-001497,2022-05-31,4,400024,2,400024,2022-05-31,,29996,,BEING THE AMOUNT WITHDRAWN AS PETTY CASH FOR COLABA HO.,,,0,,,,,9000057,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000014,,8,,,,46326,,,,,,,,2,,,,,,
CB2301-001498,2022-05-31,4,400025,2,400025,2022-05-31,,6800,,BEING THE AMOUNT PAID TO AASHISH CABLE TV NETWORK 21 NO TV CABLE RECHARGE FOR THE MONTH OF MAY - 2022 & H 15. BROADBAND SERVICES DL 10/05/2022 TO 09/06/2022 AT SOCIETY OWNERSHIP BUNGALOW LONAWALA PUNE AS PER BILL ATTACHED,,,0,,,,,9000057,2022-05-31,,,,,,,,,,,,,,,1,2022-05-31,9000014,,8,,,,46329,,,,,,,,2,,,,,,
CB2301-001500,2022-06-01,3,300453,1,300453,2022-06-01,,7080,,BEING ACCOMODATION CHARGES RECD FROM MEMBERS FOR LONAVALA REST HOUSE AGAINST BOOKING DT. FROM 02.06.2022( 4.00 PM) TO 04.06.2022(3.00 PM) (2 NIGHTS) FOR BUNGLOW B-1/01 (REFUNDABLE CASH AMT. RS.1000/-),,,57415,,,,,9000146,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000046,,8,,,,46345,,,,,,,,8,,,,,,
CB2301-001501,2022-06-01,3,300454,1,300454,2022-06-01,,4720,,BEING ACCOMODATION CHARGES RECD FROM MEMBERS FOR LONAVALA REST HOUSE AGAINST BOOKING DT. FROM 06.06.2022(4.00 PM) TO 08.06.2022(3.00 PM) (2 NIGHTS) FOR BUNGLOW B-3/02 (REFUNDABLE CASH AMT. RS.1000/-),,,43313,,,,,9000146,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000046,,8,,,,46346,,,,,,,,8,,,,,,
CB2301-001502,2022-06-01,3,300455,1,300455,2022-06-01,,10,,NOMINEE CHANGE- SARIKA RAHUL KAMBLE (WIFE),,,61324,,,,,9000139,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46364,,,,,,,,11,,,,,,
CB2301-001503,2022-06-01,3,456,1,300456,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,63783,,,,,9000139,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46366,,,,,,,,11,,,,,,
CB2301-001504,2022-06-01,3,168,1,300168,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,63902,,,,,9000049,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000028,,3,,,,46367,,,,,,,,11,,,,,,
CB2301-001505,2022-06-01,3,300457,1,300457,2022-06-01,,20000,,BEING THE AMT. OF MTL PARTLY PAID,,,24235,,,,,9000084,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000038,,8,,,,46383,,,,,,,,5,,,,,,
CB2301-001506,2022-06-01,3,229,1,300229,2022-06-01,,120,,NEW MEMBERSHIP RECEIPT,,,74697,,,,,9000053,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000060,,1,,,,46392,,,,,,,,11,,,,,,
CB2301-001507,2022-06-01,3,230,1,300230,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,33491,,,,,9000060,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000053,,1,,,,46404,,,,,,,,11,,,,,,
CB2301-001508,2022-06-01,3,300136,1,300136,2022-06-01,,20,,BEING THE AMOUNT RECEIEVED AGAINST LOAN STATEMENT TAKEN,,,42874,,,,,9000143,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000035,,4,,,,46408,,,,,,,,11,,,,,,
CB2301-001509,2022-06-01,3,137,1,300137,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,59712,,,,,9000143,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000035,,4,,,,46414,,,,,,,,11,,,,,,
CB2301-001510,2022-06-01,3,169,1,300169,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,35332,,,,,9000073,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000028,,3,,,,46418,,,,,,,,11,,,,,,
CB2301-001511,2022-06-01,3,138,1,300138,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,63691,,,,,9000143,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000035,,4,,,,46419,,,,,,,,11,,,,,,
CB2301-001512,2022-06-01,3,196,1,300196,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,63792,,,,,9000080,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000034,,2,,,,46423,,,,,,,,11,,,,,,
CB2301-001513,2022-06-01,3,458,1,300458,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,40674,,,,,9000062,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46425,,,,,,,,11,,,,,,
CB2301-001514,2022-06-01,3,300197,1,300197,2022-06-01,,10,,NOMINEE-SUSHMA S CHATUR  RELATION -WIFE,,,56065,,,,,9000064,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000034,,2,,,,46426,,,,,,,,11,,,,,,
CB2301-001515,2022-06-01,3,459,1,300459,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,54125,,,,,9000139,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46429,,,,,,,,11,,,,,,
CB2301-001516,2022-06-01,3,300460,1,300460,2022-06-01,,10,,NOMINEE CHANGE- SHAKUNTALA DHONDIRAM RUPNAR (WIFE),,,55084,,,,,9000139,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46431,,,,,,,,11,,,,,,
CB2301-001517,2022-06-01,3,198,1,300198,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,46527,,,,,9000093,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000034,,2,,,,46434,,,,,,,,11,,,,,,
CB2301-001518,2022-06-01,3,199,1,300199,2022-06-01,,120,,ISUUE BOND RECEIPT - TOP-UP,,,51585,,,,,9000093,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000034,,2,,,,46435,,,,,,,,11,,,,,,
CB2301-001519,2022-06-01,3,127,1,300127,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,28853,,,,,9000148,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000037,,6,,,,46436,,,,,,,,11,,,,,,
CB2301-001520,2022-06-01,3,300461,1,300461,2022-06-01,,10,,BEING THE NOMINEE FEES REC FROM FD NO -8000034 (NOMINEE NAME- MITALI P CHAUDHARI),,,0,,,,,9000062,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000022,,8,,,,46439,,,,,,,,11,,,,,,
CB2301-001521,2022-06-01,3,128,1,300128,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,39634,,,,,9000148,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000037,,6,,,,46447,,,,,,,,11,,,,,,
CB2301-001522,2022-06-01,3,300462,1,300462,2022-06-01,,7080,,BEING ACCOMODATION CHARGES RECD FROM MEMBERS FOR LONAVALA REST HOUSE AGAINST BOOKING DT FROM 01.06.2022 (4.00 PM) TO 03.06.2022 (3.00 PM) (2 NIGHTS) FOR BUNGLOW B-1/02 (REFUNDABLE CASH AMT. RS.1000/-),,,52922,,,,,9000146,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000046,,8,,,,46449,,,,,,,,8,,,,,,
CB2301-001523,2022-06-01,3,200,1,300200,2022-06-01,,120,,ISUUE BOND RECEIPT - M.T.L.,,,64024,,,,,9000093,2022-06-01,,,,,,,,,,,,,,,1,2022-06-01,9000034,,2,,,,46450,,,,,,,,11,,,,,,
