EntryNo,SrNo,AccCode,AccDesc,Amount,TrType,Debit,Credit,Remarks,Acc_No,UserNam,TRMode
BB-0101-000000      ,1,000193,Electricity Charges,30100.00,NULL,NULL,NULL,NULL,1678,9000057,1
BB-0101-000001      ,1,000187,Stationery & Printing Charges,11377.00,NULL,NULL,NULL,NULL,1672,9000057,1
BB-0101-000001      ,2,000076,C.G.S.T,824.00,NULL,NULL,NULL,NULL,1545,9000057,1
BB-0101-000001      ,3,000075,S.G.S.T,824.00,NULL,NULL,NULL,NULL,1544,9000057,1
BB2301-000001       ,1,000043,Medium Term Loan,320200.00,NULL,NULL,NULL,NULL,1512,9000091,1
BB2301-000001       ,2,000048,Top-up Loan,91500.00,NULL,NULL,NULL,NULL,1517,9000091,1
BB2301-000001       ,3,000042,Emergency Loan - 1 - October,5000.00,NULL,NULL,NULL,NULL,1511,9000091,1
BB2301-000002       ,1,000048,Top-up Loan,65600.00,NULL,NULL,NULL,NULL,1517,9000091,1
BB2301-000003       ,1,000043,Medium Term Loan,460000.00,NULL,NULL,NULL,NULL,1512,9000091,1
BB2301-000004       ,1,000043,Medium Term Loan,500000.00,NULL,NULL,NULL,NULL,1512,9000139,1
BB2301-000005       ,1,000267,Net Paid - Dadar,145731.00,NULL,NULL,NULL,Bond No :-080300001,1840,NULL,NULL
BB2301-000006       ,1,000267,Net Paid - Dadar,148659.00,NULL,NULL,NULL,Bond No :-080300002,1840,NULL,NULL
BB2301-000007       ,1,000267,Net Paid - Dadar,262371.00,NULL,NULL,NULL,Bond No :-080300003,1840,NULL,NULL
BB2301-000008       ,1,000267,Net Paid - Dadar,191356.00,NULL,NULL,NULL,Bond No :-080300004,1840,NULL,NULL
BB2301-000009       ,1,000231,Other Bank Loan,98281.00,NULL,NULL,NULL,Bond No:-080300004,1716,NULL,NULL
BB2301-000010       ,1,000267,Net Paid - Dadar,128933.00,NULL,NULL,NULL,Bond No :-080300005,1840,NULL,NULL
BB2301-000011       ,1,000178,Leave Travel  Assistance,10100.00,NULL,NULL,NULL,NULL,1663,9000147,1
BB2301-000012       ,1,000267,Net Paid - Dadar,218934.00,NULL,NULL,NULL,Bond No :-080300006,1840,NULL,NULL
BB2301-000013       ,1,000267,Net Paid - Dadar,145731.00,NULL,NULL,NULL,Bond No :-080300007,1840,NULL,NULL
BB2301-000014       ,1,000267,Net Paid - Dadar,105637.00,NULL,NULL,NULL,Bond No :-080300008,1840,NULL,NULL
BB2301-000015       ,1,000267,Net Paid - Dadar,169737.00,NULL,NULL,NULL,Bond No :-080300009,1840,NULL,NULL
BB2301-000016       ,1,000267,Net Paid - Dadar,243025.00,NULL,NULL,NULL,Bond No :-080100001,1840,NULL,NULL
BB2301-000017       ,1,000267,Net Paid - Dadar,589575.00,NULL,NULL,NULL,Bond No :-080100002,1840,NULL,NULL
BB2301-000018       ,1,000267,Net Paid - Dadar,1184325.00,NULL,NULL,NULL,Bond No :-080100003,1840,NULL,NULL
BB2301-000019       ,1,000178,Leave Travel  Assistance,10100.00,NULL,NULL,NULL,NULL,1663,9000147,1
